LoanStatus,BorrowerAPR,ProsperRating,LoanOriginalAmount,Term,IsBorrowerHomeowner,EmploymentStatus,EmploymentStatusDuration,DebtToIncomeRatio,IncomeRange
Defaulted,0.35796999999999995,HR,4000,36,True,Employed,6.0,0.38,$50-75k
Completed,0.35796999999999995,HR,2000,36,False,Not employed,1.0,,Not employed
Defaulted,0.2951,D,2000,36,True,Employed,4.0,0.55,$25-50k
Defaulted,0.09844,AA,5000,36,True,Employed,7.0,0.23,$25-50k
Completed,0.28918,D,2000,12,True,Employed,1.0,0.16,>$100k
Completed,0.37699,HR,2500,36,False,Self-employed,1.0,,$50-75k
Completed,0.34105,D,3000,12,True,Employed,11.0,0.14,$50-75k
Completed,0.32576,E,4500,36,False,Employed,14.0,0.26,$25-50k
Completed,0.35796999999999995,HR,4000,36,False,Employed,3.0,0.1,$25-50k
Completed,0.16005,B,4000,36,True,Employed,4.0,0.18,$50-75k
Defaulted,0.2952,HR,4000,36,False,Employed,6.0,0.23,$25-50k
Completed,0.35643,E,7500,36,False,Employed,3.0,0.34,$75-100k
Completed,0.31368,E,4000,12,False,Employed,4.0,0.17,$75-100k
Completed,0.30532,D,7000,36,True,Self-employed,10.0,,>$100k
Defaulted,0.22741999999999998,C,3000,36,True,Employed,6.0,0.35,$25-50k
Completed,0.11295999999999999,A,4700,36,True,Employed,4.0,0.12,>$100k
Completed,0.23718000000000003,B,11000,60,True,Employed,4.0,0.31,$25-50k
Defaulted,0.32393,E,4000,60,False,Employed,9.0,0.11,$50-75k
Defaulted,0.34915,D,8000,36,True,Employed,8.0,0.15,$75-100k
Completed,0.35838000000000003,E,4000,60,True,Employed,1.0,0.22,$75-100k
Completed,0.17969000000000002,B,6950,12,False,Employed,6.0,0.21,>$100k
Completed,0.10645,AA,20000,36,True,Employed,27.0,0.2,>$100k
Completed,0.1322,A,10000,36,True,Employed,12.0,0.24,$50-75k
Completed,0.38058000000000003,E,7500,36,False,Employed,9.0,0.2,$50-75k
Defaulted,0.35356,HR,4000,36,False,Other,3.0,1.26,$0-25k
Completed,0.25013,C,9000,36,True,Employed,19.0,0.15,>$100k
Completed,0.13271,A,10000,36,True,Employed,4.0,0.23,$75-100k
Defaulted,0.28851,D,15000,36,False,Employed,24.0,0.47,$25-50k
Completed,0.36438000000000004,C,2500,36,False,Employed,3.0,0.42,$25-50k
Defaulted,0.35643,E,7500,36,True,Employed,2.0,0.27,>$100k
Defaulted,0.30951,D,7500,36,True,Employed,5.0,0.44,$25-50k
Defaulted,0.34576999999999997,E,4000,36,False,Employed,1.0,0.19,$75-100k
Defaulted,0.35643,E,7500,36,True,Employed,2.0,0.34,$25-50k
Completed,0.35796999999999995,HR,4000,36,True,Employed,34.0,0.18,$50-75k
Completed,0.18986,B,7000,36,False,Employed,2.0,0.41,$25-50k
Completed,0.22908,C,7000,60,True,Employed,10.0,0.12,$50-75k
Completed,0.202,B,13500,36,False,Employed,3.0,0.34,$25-50k
Completed,0.25718,C,10000,60,True,Employed,6.0,0.21,$75-100k
Completed,0.17359000000000002,B,2500,36,True,Employed,5.0,0.32,$25-50k
Defaulted,0.27554,C,10000,60,False,Employed,2.0,0.33,$0-25k
Completed,0.22871999999999998,C,14584,36,True,Employed,38.0,0.16,$75-100k
Defaulted,0.2974,D,5000,36,True,Employed,10.0,0.07,$50-75k
Completed,0.17493,B,4000,12,True,Employed,14.0,0.13,>$100k
Defaulted,0.35796999999999995,HR,4000,36,False,Other,2.0,,$25-50k
Completed,0.31053000000000003,D,5000,36,True,Retired,4.0,,$50-75k
Defaulted,0.24806999999999998,HR,1000,36,False,Employed,3.0,0.32,$25-50k
PastDue,0.30532,D,4500,36,False,Employed,4.0,0.13,$25-50k
Completed,0.15355,AA,15000,36,True,Employed,2.0,0.06,>$100k
Completed,0.24821999999999997,C,5000,36,True,Employed,3.0,0.14,$50-75k
Completed,0.31053000000000003,D,3000,36,False,Employed,12.0,0.03,$25-50k
Completed,0.2951,D,10000,36,True,Employed,29.0,0.2,$75-100k
Completed,0.36783000000000005,HR,1500,36,True,Employed,12.0,0.31,$50-75k
Completed,0.18525999999999998,B,2000,12,True,Employed,35.0,0.23,$50-75k
Completed,0.35643,E,6290,36,False,Employed,20.0,0.1,$25-50k
Defaulted,0.37453000000000003,HR,3000,36,False,Employed,6.0,0.13,$50-75k
Completed,0.25886,C,21500,36,True,Employed,2.0,0.3,$25-50k
Completed,0.29254,D,4000,36,False,Employed,2.0,0.32,$25-50k
Completed,0.28974,D,10000,36,False,Employed,4.0,0.25,$50-75k
Defaulted,0.2951,D,7500,36,False,Employed,5.0,0.75,$25-50k
Completed,0.25781,D,3200,36,True,Employed,4.0,,$50-75k
Completed,0.24856,D,10000,60,False,Self-employed,1.0,,$75-100k
Completed,0.2832,HR,2100,36,True,Employed,10.0,0.29,$25-50k
Completed,0.35643,E,7500,36,True,Employed,4.0,0.35,$50-75k
Completed,0.32321,E,2100,60,False,Employed,1.0,,$25-50k
Completed,0.24148000000000003,C,4000,12,False,Employed,1.0,0.08,$50-75k
Completed,0.13413,A,25000,36,True,Employed,14.0,0.33,$50-75k
Completed,0.17849,A,13000,60,True,Employed,1.0,0.21,$75-100k
Completed,0.28851,D,15000,36,True,Employed,5.0,0.58,$50-75k
PastDue,0.17849,A,23500,60,True,Employed,5.0,0.3,$50-75k
Completed,0.35643,E,7000,36,True,Employed,1.0,0.31,$50-75k
Completed,0.33097,D,3500,36,True,Employed,3.0,0.02,$75-100k
Defaulted,0.35097,E,4000,60,True,Employed,13.0,0.43,$50-75k
Completed,0.07439,AA,2500,36,True,Employed,17.0,,>$100k
Completed,0.12528,A,20500,36,False,Employed,1.0,0.26,>$100k
Completed,0.17069,B,3500,36,False,Employed,5.0,0.08,$25-50k
PastDue,0.13942000000000002,A,20000,60,True,Employed,14.0,0.11,>$100k
Defaulted,0.29588000000000003,D,5000,36,True,Part-time,1.0,0.2,$25-50k
Completed,0.33050999999999997,E,2500,36,False,Employed,1.0,1.89,$0-25k
Completed,0.34886999999999996,HR,4000,36,False,Self-employed,4.0,,$25-50k
Completed,0.21372,B,15000,36,True,Employed,1.0,0.14,>$100k
PastDue,0.24281999999999998,C,10000,60,True,Employed,12.0,0.42,$50-75k
Completed,0.22135,C,2500,36,True,Retired,25.0,0.24,$50-75k
Completed,0.10878,AA,10000,60,True,Employed,3.0,0.1,>$100k
PastDue,0.16151,A,22500,60,True,Employed,9.0,0.32,$25-50k
Completed,0.32989,D,7000,60,False,Employed,1.0,0.13,$25-50k
Completed,0.23051999999999997,C,25000,60,True,Employed,1.0,0.15,>$100k
Completed,0.25227,C,16000,36,False,Employed,4.0,0.1,$75-100k
Completed,0.30532,D,2500,36,False,Not employed,2.0,,Not employed
Completed,0.07479,AA,1000,36,False,Part-time,2.0,0.29,$0-25k
Defaulted,0.25013,C,15000,36,True,Employed,2.0,0.34,$75-100k
Completed,0.15803,B,15000,36,True,Employed,10.0,0.28,>$100k
Completed,0.37453000000000003,HR,4000,36,True,Employed,20.0,0.22,$75-100k
Defaulted,0.18725,B,10000,36,False,Employed,13.0,0.5,$25-50k
Completed,0.08331000000000001,AA,14000,36,True,Employed,5.0,0.16,>$100k
Completed,0.25998000000000004,C,4500,36,False,Employed,4.0,0.27,$75-100k
Completed,0.11765999999999999,A,6000,36,False,Employed,26.0,0.21,$25-50k
Completed,0.20784,C,2000,12,True,Employed,2.0,0.4,$25-50k
Completed,0.39153000000000004,E,1000,36,True,Self-employed,6.0,,$75-100k
Completed,0.22135,C,4000,36,True,Employed,3.0,0.39,$50-75k
PastDue,0.21025,C,10000,36,False,Employed,3.0,0.12,$50-75k
Completed,0.09744,AA,6000,36,True,Employed,4.0,0.29,$75-100k
Completed,0.15833,A,3500,36,False,Self-employed,2.0,,>$100k
Completed,0.34731,E,4000,36,True,Employed,1.0,0.37,$25-50k
Completed,0.12528,A,10000,36,True,Employed,0.0,0.17,$25-50k
Completed,0.16289,A,10170,60,True,Employed,2.0,0.06,>$100k
Completed,0.22491,HR,1500,36,True,Employed,2.0,0.04,$75-100k
Completed,0.37733,HR,1500,36,True,Employed,20.0,0.09,$50-75k
Defaulted,0.12992,AA,10000,60,False,Employed,6.0,0.13,$25-50k
Completed,0.33097,D,2500,36,False,Employed,5.0,0.14,$25-50k
Defaulted,0.15375,A,5000,36,True,Employed,13.0,0.21,$50-75k
Defaulted,0.35643,HR,3151,36,True,Self-employed,3.0,,$50-75k
Defaulted,0.2706,D,15000,36,True,Employed,11.0,,$50-75k
Completed,0.31375,D,9500,60,True,Employed,24.0,0.39,$75-100k
Completed,0.30532,D,2000,36,False,Employed,0.0,,$25-50k
Completed,0.11295999999999999,A,3000,36,False,Employed,5.0,0.07,$25-50k
Completed,0.23318000000000003,B,7000,60,False,Employed,7.0,0.35,$25-50k
Completed,0.2837,D,2000,36,False,Other,3.0,,$0-25k
Completed,0.23681999999999997,C,1000,36,True,Employed,10.0,0.18,$50-75k
Completed,0.13942000000000002,A,10000,60,False,Self-employed,14.0,,$50-75k
Completed,0.27305999999999997,B,15000,36,True,Employed,1.0,0.23,$25-50k
Completed,0.13271,A,10000,36,True,Employed,2.0,0.08,>$100k
Completed,0.07439,AA,1000,36,False,Part-time,2.0,0.24,$0-25k
Completed,0.30532,D,12000,36,True,Employed,15.0,0.27,$50-75k
Completed,0.21122,C,10000,36,True,Employed,7.0,0.21,$50-75k
Completed,0.09736,AA,6000,36,False,Employed,5.0,0.15,>$100k
Completed,0.15538,A,12500,36,False,Employed,7.0,0.05,>$100k
Completed,0.31627,E,3000,36,True,Employed,3.0,,$50-75k
Defaulted,0.35131999999999997,E,6000,36,True,Employed,1.0,,>$100k
PastDue,0.20052999999999999,B,15000,36,True,Employed,6.0,0.33,$50-75k
Completed,0.19108,B,2000,36,False,Employed,3.0,0.18,$0-25k
Defaulted,0.27466999999999997,D,2200,36,True,Employed,26.0,0.37,$25-50k
Defaulted,0.35796999999999995,HR,4000,36,True,Self-employed,20.0,,$0-25k
Completed,0.32576,E,7500,36,True,Employed,12.0,0.29,>$100k
Completed,0.08882000000000001,AA,7900,36,False,Employed,2.0,0.06,$75-100k
Completed,0.05927,AA,5000,12,False,Employed,7.0,0.04,>$100k
PastDue,0.35796999999999995,HR,4000,36,False,Other,18.0,0.18,$0-25k
Completed,0.17069,B,7500,36,True,Employed,4.0,0.13,$25-50k
Defaulted,0.35643,E,5404,36,False,Other,7.0,,$50-75k
Completed,0.2951,D,3000,36,False,Employed,14.0,0.2,$25-50k
Completed,0.34105,D,4500,12,False,Employed,1.0,0.05,>$100k
Completed,0.12460999999999998,A,10000,36,True,Employed,8.0,0.26,$25-50k
Completed,0.35796999999999995,HR,4000,36,True,Self-employed,12.0,,$25-50k
Completed,0.26681,D,15000,36,False,Employed,4.0,0.17,>$100k
Completed,0.35796999999999995,HR,4000,36,True,Employed,17.0,0.19,>$100k
Completed,0.35796999999999995,HR,4000,36,True,Employed,21.0,0.18,$50-75k
Completed,0.35796999999999995,HR,4000,36,True,Employed,8.0,0.22,$25-50k
Completed,0.30461,E,2000,12,False,Not employed,1.0,,Not employed
Completed,0.35356,HR,2000,36,False,Employed,11.0,0.65,$25-50k
Completed,0.09794,AA,25000,36,True,Employed,10.0,0.34,$75-100k
Completed,0.20593000000000003,B,8500,60,False,Employed,3.0,0.17,$25-50k
Completed,0.31053000000000003,D,6500,36,True,Employed,8.0,0.25,$75-100k
Completed,0.15650999999999998,B,2500,36,True,Employed,1.0,0.22,>$100k
Completed,0.38443,E,1000,36,False,Not employed,1.0,,Not employed
Completed,0.21391999999999997,B,17500,60,True,Employed,16.0,0.21,>$100k
Completed,0.16802999999999998,B,4981,12,False,Employed,0.0,0.28,$75-100k
Completed,0.35796999999999995,HR,2000,36,False,Employed,2.0,0.25,$50-75k
PastDue,0.35796999999999995,HR,4000,36,False,Employed,9.0,0.34,$25-50k
Completed,0.15894,A,3000,36,True,Self-employed,12.0,,>$100k
Completed,0.06888,AA,2500,36,False,Employed,4.0,0.09,$25-50k
Completed,0.34886999999999996,HR,3000,36,False,Employed,10.0,0.35,$75-100k
Completed,0.07339,AA,1000,36,False,Employed,14.0,,$50-75k
Completed,0.28339000000000003,D,9000,36,True,Employed,3.0,0.22,$50-75k
Completed,0.12511,A,5000,36,True,Employed,5.0,0.12,$25-50k
Defaulted,0.26681,D,2000,36,False,Employed,8.0,0.45,$0-25k
Defaulted,0.29464,D,11500,60,True,Employed,26.0,0.26,$25-50k
Completed,0.26282,D,3500,36,False,Employed,4.0,0.28,$25-50k
Defaulted,0.30532,D,10000,36,True,Employed,4.0,0.13,>$100k
Completed,0.10375,A,7500,36,False,Employed,2.0,0.05,$50-75k
Defaulted,0.35796999999999995,HR,4000,36,False,Employed,6.0,0.07,$50-75k
PastDue,0.18725,B,15000,36,True,Employed,2.0,0.34,$50-75k
Completed,0.28386,D,8000,60,False,Employed,25.0,0.24,$25-50k
PastDue,0.13413,A,13000,36,True,Employed,11.0,0.17,>$100k
Completed,0.07439,AA,2500,36,False,Employed,2.0,0.06,$25-50k
Defaulted,0.15732000000000002,A,4500,36,True,Employed,2.0,0.29,>$100k
PastDue,0.2399,C,3000,36,False,Employed,8.0,0.17,$25-50k
Completed,0.13696,A,2000,12,False,Employed,3.0,0.09,$75-100k
Completed,0.202,B,5000,36,False,Employed,5.0,0.2,$25-50k
Completed,0.17069,B,15000,36,True,Employed,4.0,0.27,>$100k
PastDue,0.35796999999999995,HR,4000,36,True,Employed,15.0,0.22,$50-75k
Completed,0.27246,C,15000,60,False,Employed,11.0,0.62,$50-75k
Completed,0.30532,D,2500,36,False,Employed,5.0,0.15,$0-25k
Completed,0.35796999999999995,HR,4000,36,True,Employed,1.0,0.19,$50-75k
Defaulted,0.17069,B,7500,36,True,Employed,9.0,0.16,$50-75k
Completed,0.26528,C,12000,60,True,Employed,2.0,0.32,$75-100k
PastDue,0.30532,D,8000,36,False,Employed,5.0,0.22,$25-50k
Completed,0.25424,D,7500,36,True,Employed,4.0,0.25,$50-75k
Completed,0.35643,HR,4000,36,True,Self-employed,8.0,,$50-75k
PastDue,0.35796999999999995,HR,4000,36,True,Employed,8.0,0.2,$50-75k
Completed,0.23718000000000003,B,2000,60,True,Employed,5.0,0.06,>$100k
Completed,0.35796999999999995,HR,4000,36,True,Employed,12.0,0.14,>$100k
Completed,0.21372,B,2500,36,False,Employed,5.0,0.1,$25-50k
Completed,0.21372,B,7500,36,True,Employed,6.0,0.19,>$100k
Completed,0.35811,HR,1600,36,False,Employed,6.0,0.25,$25-50k
Completed,0.33709,E,4000,60,False,Employed,1.0,,$0-25k
Defaulted,0.35796999999999995,HR,4000,36,True,Other,5.0,0.36,$25-50k
PastDue,0.25013,C,15000,36,False,Employed,3.0,0.15,$75-100k
Completed,0.17069,B,8000,36,False,Employed,1.0,0.31,$0-25k
PastDue,0.31293000000000004,E,4000,60,False,Employed,9.0,0.05,$75-100k
Completed,0.33038,C,9500,36,True,Employed,27.0,0.28,$75-100k
Defaulted,0.26887,C,25000,60,False,Employed,8.0,0.05,>$100k
Completed,0.16005,B,2000,36,False,Part-time,4.0,,$0-25k
Completed,0.36665,E,1500,36,False,Retired,7.0,0.23,$25-50k
Completed,0.12782000000000002,A,6000,36,True,Employed,8.0,0.24,>$100k
Defaulted,0.27285,D,5000,36,False,Employed,2.0,0.26,$25-50k
Completed,0.28574,D,4000,36,True,Employed,13.0,0.11,$50-75k
Completed,0.15077000000000002,A,2854,12,True,Employed,13.0,0.1,>$100k
Completed,0.09333,AA,15000,36,True,Employed,3.0,0.05,>$100k
Completed,0.33097,D,2000,36,False,Employed,2.0,,$25-50k
Completed,0.33665,E,4000,36,False,Employed,27.0,0.24,$25-50k
Completed,0.10845999999999999,AA,12500,36,True,Employed,1.0,0.09,$50-75k
Completed,0.09736,AA,6500,36,True,Employed,7.0,0.08,$50-75k
Completed,0.08591,AA,13000,36,False,Employed,10.0,0.09,$50-75k
Defaulted,0.32333,E,4000,36,False,Employed,25.0,0.13,$75-100k
Defaulted,0.30182,D,1000,36,False,Employed,4.0,0.14,$0-25k
Completed,0.12137,A,1200,36,False,Employed,2.0,0.15,$50-75k
Completed,0.14328,A,7000,36,False,Employed,3.0,0.13,$75-100k
Defaulted,0.20357999999999998,B,15000,60,False,Employed,1.0,0.2,$25-50k
Completed,0.24614,D,15000,36,True,Employed,5.0,0.17,$75-100k
Completed,0.2951,D,3000,36,True,Employed,13.0,0.23,$75-100k
Defaulted,0.33097,D,7500,36,True,Employed,4.0,0.37,$75-100k
Completed,0.27285,D,4000,36,False,Employed,13.0,0.32,$25-50k
Completed,0.202,B,15000,36,False,Employed,3.0,0.38,$25-50k
Completed,0.11295999999999999,A,4200,36,False,Retired,22.0,0.28,$0-25k
Completed,0.36386999999999997,D,5700,36,True,Employed,14.0,0.43,$50-75k
Completed,0.35285,HR,4000,36,True,Employed,1.0,0.12,>$100k
Completed,0.25781,D,15000,36,False,Employed,1.0,0.22,$50-75k
Completed,0.32958000000000004,D,7700,60,False,Employed,6.0,0.23,$75-100k
Completed,0.2129,C,3400,36,False,Employed,13.0,0.13,$75-100k
PastDue,0.29370999999999997,D,15000,60,True,Employed,4.0,0.25,$50-75k
Completed,0.33393,HR,2000,36,False,Employed,21.0,0.14,$50-75k
Completed,0.202,B,10000,36,True,Employed,10.0,0.07,>$100k
Completed,0.35796999999999995,HR,4000,36,False,Employed,11.0,0.42,$25-50k
Completed,0.11295999999999999,A,6000,36,False,Employed,18.0,0.24,$75-100k
Completed,0.20705,B,11300,60,False,Employed,5.0,,$25-50k
Defaulted,0.27466999999999997,D,2500,36,False,Employed,4.0,0.08,$75-100k
Completed,0.36336,HR,2000,36,False,Self-employed,9.0,,$50-75k
Completed,0.20784,C,3000,12,False,Employed,6.0,0.19,$25-50k
Defaulted,0.35796999999999995,HR,4000,36,True,Other,3.0,1.19,$25-50k
Completed,0.34731,E,7500,36,True,Self-employed,16.0,,$75-100k
Defaulted,0.24245999999999998,C,2000,36,True,Other,26.0,0.18,$25-50k
Defaulted,0.37453000000000003,HR,1800,36,False,Employed,9.0,0.44,$25-50k
Completed,0.27554,C,13000,60,True,Self-employed,10.0,,$25-50k
Completed,0.18316,B,8500,36,False,Employed,2.0,0.18,$50-75k
Completed,0.35689,E,1500,36,True,Employed,8.0,0.29,$50-75k
Defaulted,0.17849,A,7000,60,True,Employed,1.0,0.13,>$100k
Defaulted,0.30532,D,7000,36,False,Employed,6.0,0.48,$25-50k
Defaulted,0.35131999999999997,E,6000,36,True,Employed,22.0,,$25-50k
Completed,0.18725,B,7000,36,True,Employed,16.0,0.11,$50-75k
Completed,0.35796999999999995,HR,2000,36,False,Employed,10.0,0.37,$50-75k
Completed,0.11448,A,11500,36,False,Employed,5.0,0.2,$75-100k
Completed,0.08591,AA,10000,36,True,Employed,4.0,0.15,$75-100k
Completed,0.21821999999999997,B,6500,60,True,Employed,23.0,0.16,$25-50k
Defaulted,0.2951,D,3000,36,False,Employed,12.0,0.18,>$100k
Defaulted,0.23318000000000003,B,13000,60,True,Employed,17.0,0.17,$50-75k
PastDue,0.30748000000000003,E,4000,60,False,Employed,7.0,0.09,$75-100k
Completed,0.09643,AA,9000,36,True,Employed,18.0,0.24,$25-50k
Completed,0.38723,HR,2000,36,False,Employed,17.0,0.24,$25-50k
Completed,0.37453000000000003,HR,2500,36,True,Employed,2.0,0.2,>$100k
Defaulted,0.35796999999999995,HR,4000,36,False,Self-employed,10.0,,>$100k
Completed,0.27285,D,3000,36,True,Employed,17.0,0.02,$75-100k
PastDue,0.20462,B,8000,36,False,Employed,1.0,,$0-25k
Completed,0.34621,E,4000,36,True,Employed,29.0,0.27,$50-75k
Completed,0.25781,D,7000,36,False,Employed,2.0,0.18,$25-50k
Completed,0.2951,D,5000,36,True,Employed,7.0,0.16,>$100k
Completed,0.37453000000000003,HR,4000,36,False,Employed,5.0,0.12,$75-100k
Completed,0.17754,B,12880,36,False,Employed,3.0,0.25,>$100k
Completed,0.27285,D,9000,36,False,Employed,2.0,0.18,$50-75k
Completed,0.17754,B,4000,36,False,Employed,7.0,0.25,$25-50k
Completed,0.17018,B,10000,36,True,Employed,5.0,0.06,>$100k
PastDue,0.35643,HR,4000,36,False,Employed,1.0,,$0-25k
Completed,0.35796999999999995,HR,4000,36,False,Employed,8.0,0.29,$0-25k
Completed,0.19364,B,25000,60,False,Employed,1.0,0.18,$75-100k
Completed,0.36676,HR,3000,36,True,Employed,10.0,0.23,>$100k
Completed,0.22741999999999998,C,2500,36,True,Employed,7.0,0.39,$50-75k
Completed,0.23656,C,5000,60,False,Employed,13.0,0.21,$25-50k
Defaulted,0.27246,C,15000,60,False,Employed,6.0,0.46,$50-75k
PastDue,0.35356,HR,4000,36,False,Employed,5.0,0.69,$25-50k
Completed,0.15077000000000002,A,2000,12,False,Employed,3.0,0.18,$25-50k
Completed,0.27466999999999997,D,10000,36,False,Self-employed,7.0,,$75-100k
PastDue,0.27462,C,5000,60,False,Not employed,1.0,,Not employed
Completed,0.10588,AA,6000,36,True,Employed,1.0,0.14,>$100k
Defaulted,0.23656,C,9500,60,False,Employed,6.0,0.16,$50-75k
Completed,0.23476999999999998,B,15000,60,True,Employed,9.0,0.14,>$100k
Completed,0.22135,C,2100,36,False,Employed,2.0,0.13,$25-50k
PastDue,0.35796999999999995,HR,4000,36,False,Self-employed,8.0,,$25-50k
Defaulted,0.24251999999999999,C,15000,60,True,Employed,3.0,0.2,$75-100k
Completed,0.37453000000000003,E,5000,36,False,Employed,2.0,0.17,$50-75k
Completed,0.17322,B,7500,36,False,Employed,3.0,0.13,$75-100k
Completed,0.14357999999999999,A,7000,36,True,Employed,13.0,0.16,$50-75k
Completed,0.35796999999999995,HR,4000,36,True,Other,28.0,0.21,$50-75k
Completed,0.33665,E,4000,36,False,Employed,19.0,0.19,$25-50k
Completed,0.21434,C,10000,36,False,Employed,24.0,0.18,$50-75k
Completed,0.10372999999999999,A,1600,36,False,Part-time,9.0,0.4,$25-50k
